kousui,sitsudo,kaimen kiatsu,jyouki,wspeed,kion,nissyou,kiatsu
0,60,1015.6,6.5,1.3,8.2,0,1012.4
0,64,1016.1,6.5,2.4,7.3,0,1012.9
0,66,1016.5,6.7,1.1,7.2,0,1013.3
0,68,1016.9,7,2.4,7.4,0,1013.7
0,69,1017,6.8,1.2,6.7,0,1013.8
0,67,1017,6.6,1.1,6.8,0,1013.8
0,68,1016.9,6.7,0.7,6.8,0,1013.7
0,71,1016.7,7,1.8,6.7,0,1013.5
0,71,1016.6,7,0.6,6.7,0,1013.4
0,69,1016,6.9,1.6,6.9,0,1012.8
0,62,1016.1,6.8,2,8.3,0,1012.9
0,57,1016.3,6.6,1.8,9.1,0,1013.1
0,65,1016.5,6.8,1.7,7.7,0,1013.3
0,58,1017,6.8,2,9.4,0,1013.8
0,59,1017.6,7.3,1,10.1,0.3,1014.4
0,43,1018,6.1,5.2,12.1,0.7,1014.8
0,41,1018.1,6,3.6,12.6,0.7,1014.9
0,40,1018.2,6.2,6.2,13.6,1,1015
0,43,1018,6.4,6.2,13,0.6,1014.8
0,46,1017.6,6.9,5.2,13.1,0.1,1014.4
0,47,1017.4,7.3,4.3,13.5,0.2,1014.2
0,46,1017.7,7.2,5.6,13.6,0.2,1014.5
0,48,1018.2,7.2,4.9,13.1,0.2,1015
0,51,1018.5,7.3,3.1,12.3,0.1,1015.3
0,56,1019,7.5,2.3,11.4,0,1015.8
0,61,1019.5,7.6,2.6,10.2,0,1016.3
0,69,1019.6,8,1,9.2,0,1016.4
0,75,1019.9,8.1,1.6,8.1,0,1016.7
0,77,1020.2,8,1.1,7.5,0,1017
0,80,1020.4,8.1,1,7.1,0,1017.2
0,78,1020.3,7.9,1.1,7.1,0,1017.1
0,79,1020.3,7.8,1.1,6.7,0,1017.1
0,79,1020.6,7.5,0.9,6.2,0,1017.3
0,80,1020.5,7.5,1,6,0,1017.2
0,84,1020.4,7.4,0.7,5.2,0,1017.1
0,80,1020.5,7.2,1,5.5,0,1017.2
0,80,1020.4,7,1,5.1,0,1017.1
0,77,1020.1,7.3,0.9,6.2,0.9,1016.8
0,67,1020.2,7.7,1.4,9,1,1017
0,55,1020,7.7,1.5,11.9,1,1016.8
0,50,1019.7,7.8,1.2,13.6,1,1016.5
0,44,1019.2,7.8,2.2,15.6,1,1016.1
0,43,1018.6,8,1.8,16.4,1,1015.5
0,43,1017.8,8.5,1.3,17.3,1,1014.7
0,43,1017.5,8.8,1.6,17.9,1,1014.4
0,44,1017.6,8.9,0.6,17.7,1,1014.5
0,50,1017.8,9.5,1.7,16.7,1,1014.7
0,59,1017.7,10.3,1.8,15.3,0.4,1014.6
0,65,1018.1,10.3,0.8,13.9,0,1014.9
0,72,1018.5,10.2,2,12.1,0,1015.3
0,74,1018.4,10.1,1.6,11.6,0,1015.2
0,81,1018.6,10.4,1.3,10.6,0,1015.4
0,81,1018.6,10.1,1,10.2,0,1015.4
0,83,1018.8,9.9,0.4,9.6,0,1015.6
0,85,1018.8,9.9,0.9,9.2,0,1015.6
0,81,1018.6,9.6,1.6,9.4,0,1015.4
0,80,1018.7,9.3,1.9,9.2,0,1015.5
0,85,1018.6,9.1,0.6,8,0,1015.4
0,82,1018.8,9,1.6,8.4,0,1015.6
